;调用文件		地图	X	Y	姓名		范围	代码	刷新时间
比奇村/边界村保管员	0140	8	9	边界村保管员	0	9	1
比奇村/边界村戒指店	0141	23	23	边界村戒指店	0	4	1
比奇村/边界村手镯店	0141	16	16	边界村手镯店	0	5	1
比奇村/边界村项链店	0141	10	10	边界村项链店	0	6	1
特殊NPC/沃玛铁匠	1	314	72	沃玛铁匠	0	0	1
特殊NPC/沃玛商人	1	309	81	沃玛商人	0	4	1
特殊NPC/沃玛老人	1	235	305	沃玛老人	0	9	1
特殊NPC/森林老人	1	96	290	森林老人	0	3	1
特殊NPC/仓库保管员	D002	174	216	仓库保管员	0	3	1
特殊NPC/刘老头		D002	187	214	刘老头	0	9	1
特殊NPC/洞穴不法小贩	DM001	4	6	洞穴不法小贩	0	9	1
特殊NPC/不法小贩	DM011	4	6	不法小贩	0	9	1
毒蛇山谷/朴铁匠		0120	7	8	朴铁匠	0	0	1
毒蛇山谷/铁匠		2	518	492	铁匠	0	0	1
毒蛇山谷/薄家药铺老板	0117	4	10	薄家药铺老板	0	1	1
毒蛇山谷/药铺老板	2	505	497	药铺老板	0	1	1
毒蛇山谷/罗家铺子老板	2	505	479	罗家铺子老板	0	3	1
毒蛇山谷/米家服装老板	2	517	477	米家服装老板	0	7	1
毒蛇山谷/山谷仓库保管员	2	517	466	山谷仓库保管员	0	12	1
毒蛇山谷/山谷老人	3	855	661	传送\山谷老人	0	3	1
盟重土城/盟重仓库保管员	0145	9	12	盟重仓库保管员	0	12	1
盟重土城/悦来客栈老板	3	305	373	悦来客栈老板	0	12	1
盟重土城/张家布衣老板	0149	23	20	张家布衣老板	0	7	1
盟重土城/盟重手套店老板	0149	11	18	盟重手套店老板	0	4	1
盟重土城/盟重老张头盔店	0149	8	5	盟重老张头盔店	0	5	1
盟重土城/盟重铁匠铺老板	0159	5	9	盟重铁匠铺老板	0	0	1
盟重土城/罗家铺子老板	0160	5	8	罗家铺子老板	0	1	1
盟重土城/盟重戒指店老板	0158	11	16	盟重戒指店老板	0	5	1
盟重土城/盟重手镯店老板	0158	16	11	盟重手镯店老板	0	6	1
盟重土城/盟重项链店老板	0158	4	21	盟重项链店老板	0	4	1
盟重土城/盟重流浪汉	3	346	334	盟重流浪汉	0	3	1
盟重土城/盟重药店老板	3	361	335	盟重药店老板	0	1	1
盟重土城/盟重书店老板	0161	11	16	盟重书店老板	0	2	1
盟重土城/盟重老兵	3	338	333	传送员\[伊春传奇]	0	93	1
盟重土城/理发店		3	335	320	杀马特发型师\[伊春传奇]	0	148	1
盟重土城/法宝合成	3	320	322     法宝合成\[伊春传奇]     	0	148	1
盟重土城/元宝兑换	3	342	340	金币换元宝     	0	148	1
盟重土城/斗笠合成	3	318	322	斗笠合成\[伊春传奇]     	0	148	1
盟重土城/超级宝石	3	318	325	超级宝石\[伊春传奇]     	0	148	1
盟重土城/神龙觉醒	3	318	327	龙魂觉醒\[伊春传奇]     	0	148	1
盟重土城/超级神器	3	318	331	四大神器\[伊春传奇]     	0	148	1

;盟重土城/测试		3	323	323	测试     	0	148	1


苍月/苍月岛_老兵	5	139	326	传送员\[伊春传奇]	0	93	1
苍月/苍月岛_杂货	5	137	313	杂货铺老板	0	3	1	0	0	0	0
苍月/苍月岛_武器	5	127	306	武器店老板	0	1	1	0	0	0	0
苍月/苍月岛_首饰	5	155	339	首饰店老板	0	4	1	0	0	0	0
苍月/苍月岛_衣服	5	147	328	服装店老板	0	7	1	0	0	0	0
苍月/苍月岛_保管	5	126	331	仓库保管员	0	3	1	0	0	0	0
苍月/苍月岛_药店	5	148	352	药铺老板	0	1	1	0	0	0	0
;沙巴克
沙巴克\沙巴克_书店		new0155	27	35	沙巴克书店老板		0	18	1
沙巴克\沙巴克_屠夫		3	614	331	沙巴克屠夫		0	11	1
沙巴克\沙巴克_杂货铺		3	628	348	沙巴克小贩		0	3	1
沙巴克\沙巴克_武器店		new0151	22	36	沙巴克武器铺		0	0	1
沙巴克\沙巴克_武器升级		new0151	31	27	炼武器老板		0	0	1
沙巴克\沙巴克_炼药店		new0153	22	37	毒药老板		0	9	1
沙巴克\沙巴克_药店		new0153	28	32	沙巴克药店		0	1	1
沙巴克\沙巴克_手镯店	new01581	22	40	沙巴克手镯店		0	6	1
沙巴克\沙巴克_项链店	new01581	30	32	沙巴克项链店		0	6	1
沙巴克\沙巴克_戒指店	new01581	29	38	沙巴克戒指店		0	5	1
沙巴克\沙巴克_服饰店		new0152	21	23	沙巴克布衣店		0	7	1
沙巴克\沙巴克_头盔店		new0152	16	28	沙巴克头盔店		0	5	1
沙巴克\沙巴克_商人	new01571	21	30	沙巴克商人
特殊NPC/蜈蚣洞服装小贩	D608	30	22	蜈蚣洞服装小贩	0	3	1
特殊NPC/石墓阵武器店	D71650	23	27	石墓阵武器店	0	0	1
特殊NPC/石墓阵服装店	D71651	23	27	石墓阵服装店	0	7	1
特殊NPC/石墓阵药品店	D71601	22      12	石墓阵药品店	0	3	1
特殊NPC/石墓阵首饰店	D71652	23	27	石墓阵首饰店	0	5	1
特殊NPC/特殊商人	0126	10	10	特殊商人	0	9	1
白日门/白日门武器店	1001	14	12	白日门武器店	0	15	1
白日门/白日门杂货店	1007	11	14	白日门杂货店	0	17	1
白日门/白日门首饰店	1005	9	11	白日门首饰店	0	20	1
白日门/白日门服装店	1003	13	16	白日门服装店	0	23	1
白日门/白日门药店老板	1006	9	10	白日门药店老板	0	22	1
白日门/白日门药剂师	1006	12	7	白日门药剂师	0	25	1
白日门/白日门书店老板	1004	9	11	白日门书店老板	0	18	1
白日门/白日门保管员	11	184	296	白日门保管员	0	18	1
白日门/白日门向导	11	186	298	白日门向导	0	15	1
白日门/白日门天尊	1002	14	13	白日门天尊	0	14	1
白日门/白日门勇士	D1002	266	49	白日门勇士	0	15	1
白日门/白日门勇士	D1004	67	230	白日门勇士	0	15	1
白日门/白日门老兵	 11	180	323	传送员\[伊春传奇]	0	93	1
封魔谷/恶魔老兵		4	238	194	传送员\[伊春传奇]	0	93	1
封魔谷/恶魔杂货匠	4	255	224	恶魔杂货匠	0	17	1
封魔谷/恶魔屠夫		4	243	187	恶魔屠夫	0	11	1
封魔谷/恶魔铁匠		4	227	223	恶魔铁匠	0	30	1
封魔谷/恶魔首饰店老板	b344	13	10	恶魔首饰店老板	0	31	1
封魔谷/恶魔保管员	b347	9	10	恶魔保管员	0	10	1
封魔谷/恶魔布店老板	b345	12	10	恶魔布店老板	0	32	1
封魔谷/恶魔学者		b343	5	18	恶魔学者	0	30	1
封魔谷/恶魔炼药师	b343	15	9	恶魔炼药师	0	22	1
封魔谷/恶魔药剂师	b343	9	13	恶魔药剂师	0	28	1
封魔谷/恶魔铁匠铺老板	b342	14	7	恶魔铁匠铺老板	0	30	1
封魔谷/恶魔修理师	d2008	31	24	恶魔修理师	0	30	1
封魔谷/红娘		M101	29	32	红娘		0	12	1
953/神秘战场	        3	324     340	神秘战场\[每日活动]		0	32	0
953/大旗	hhzb	46	39	$201\大旗			0	74	1
953/幻境传送员  H003     86        82           幻境传送员              87      1              1
潜入皇城[皇宫]  H003     82        86           潜入皇城[皇宫]          87      0              1
;=====================================2016==============================================================
2016/林镖头	yb1	75	75	龙威镖局			0	147	1
2016/镇远镖局	yb2	24	27	永生镖局			0	157	1
2016/活动镖车	        3	326     340	镖车押送\[每日活动]		0	165	0
;=====================================2016威威修改==============================================================
;=====================================2016威威修改==============================================================
威威修改/强化        3    331 320    强化使者\[终极进阶]   0    132    0
威威修改/装备回收    3    320 333    装备回收\[低级回收]   0    93     0
威威修改/装备回收    0    325 267    装备回收\[低级回收]   0    93     0
;威威修改/魔宠使者   3    327 320    魔宠使者\[伊春传奇]   0    15     0
威威修改/职业导师    3    325 320    云游仙人\[转职变性]   0    144    0
威威修改/境界使者    3    327 320    境界使者\[终极进阶]   0    147    0
威威修改/铭文洗炼    3    333 320    铭文使者\[终极进阶]   0    173    0
威威修改/诱惑之森	        3	334     340	首冲礼包\[开区福利] 		0	152	0
威威修改/天下第一练级狂		3	348 325	        $1\天下第一练级狂		0	156	0
威威修改/天下第一战圣		3	342 325 	$2\天下第一战圣		0	156	0
威威修改/天下第一法神		3	344 325 	$3\天下第一法神		0	156	0
威威修改/天下第一道尊		3	346 325 	$4\天下第一道尊		0	156	0
威威修改/行会招人		3	340 321 	天下第一会\[招兵买马]		0	159	0
威威修改/城主    3    337 320    $2\[沙城霸主]    0    35    0
威威修改/赞助    3    338 340    赞助大使\[充值回馈]    0    84    0
威威修改/赞助    0    327 270    赞助大使\[充值回馈]    0    84    0
威威修改/新手练级    3    330 332    [新手练级场]     0    179    0
威威修改/宝石卸载师傅	3	321	320	装备打孔\[宝石镶嵌]		0	65	1
威威修改/沃玛副本	fbdt	6	16	沃玛教主的试练\每日副本			0	176	1
威威修改/祖玛副本	fbdt	8	14	祖玛教主的试练\每日副本			0	176	1
威威修改/赤月副本	fbdt	10	12	赤月恶魔的试练\每日副本			0	176	1
威威修改/雪域副本	fbdt	12	10	雪域魔王的试练\每日副本			0	176	1
威威修改/雷炎副本	fbdt	15	10	雷炎蛛王的试练\每日副本			0	176	1
威威修改/火龙副本	fbdt	17	12	火龙神的试练\每日副本			0	176	1
威威修改/洞天副本	fbdt	19	14	骨翼蝠王的试练\每日副本			0	176	1
威威修改/圣者副本	fbdt	21	16	圣者天魔的试练\每日副本			0	176	1
威威修改/荣耀称号	3	323	320	炫酷称号\[成就系统]			0	147	1
威威修改/宣传奖励	3	336	340	宣传大使\[推广奖励]			0	141	1
威威修改/终极回收	3	320	331	装备回收\[终极回收]			0	93	1
威威修改/版本简介	kqdd	18	22	新手攻略\[版本简介]	0		89		1
威威修改/版本简介	0	329	267	新手攻略\[版本简介]	0		89		1
威威修改/宣传奖励	0	327	267	宣传大使\[推广奖励]			0	141	1
威威修改/gm001	gm001	19	21	GM后台			0	141	1
威威修改/元宝交易使者	3	320	329	神皇钱庄\[元宝交易]	0		128		1
威威修改/版本简介	3	338	336	新手攻略\[版本简介]	0		89		1
威威修改/赞助币	3	332	340	兑换赞助\[散人福利]	0		83		1
威威修改/成长点	3	330	340	泡点抽奖\[散人福利]	0		12		1
威威修改/盾牌大师	3	329	320	盾牌大师\[高手进阶]	0		172		1
;威威修改/终极传送	3	320	338	生命禁区\[终极冒险]	0		322		1
威威修改/散人打宝	3	322	340	群魔乱舞\[散人打宝]	0		64.5		1
威威修改/仓库保管员	3	320	335	仓库保管员\[伊春传奇]	0		7		1
威威修改/怪物攻城	3	328	340	怪物攻城\[伊春传奇]	0		7		1
;威威修改/比奇国王	3	320	327	比奇国王\[伊春传奇]	0		8		1
威威修改/红娘		3	320	327	红娘\[喜结良缘]		0	12	1
威威修改/无限轮回		3	320	325	永无止境\[无限轮回]		0	15	1
威威修改/新手传送员    kqdd           20           19           新手接待员               0               93    0
;威威修改/宠物仓库 3 340 325 宝宝寄存\[宠物仓库] 164 0 0 0
;=====================================2017小雨制作==============================================================
通天宝塔/通天宝塔	3	316	337	通天宝塔\[打宝挑战]	0		99		1
通天宝塔/宝塔1	DDD1	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔2	DDD2	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔3	DDD3	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔4	DDD4	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔5	DDD5	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔6	DDD6	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔7	DDD7	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔8	DDD8	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔9	DDD9	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔10	 DDD10	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔11	 DDD11	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔12	 DDD12	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔13	 DDD13	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔14	 DDD14	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔15	 DDD15	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔16	 DDD16	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔17	 DDD17	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔18	 DDD18	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔19	 DDD19	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔20	 DDD20	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔21	 DDD21	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔22	 DDD22	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔23	 DDD23	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔24	 DDD24	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔25	 DDD25	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔26	 DDD26	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔27	 DDD27	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔28	 DDD28	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔29	 DDD29	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔30	 DDD30	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔31	 DDD31	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔32	 DDD32	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔33	 DDD33	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔34	 DDD34	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔35	 DDD35	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔36	 DDD36	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔37	 DDD37	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔38	 DDD38	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔39	 DDD39	19	12	通关使者\[通天宝塔]	0		141		1
通天宝塔/宝塔40	 DDD40	19	12	通关使者\[通天宝塔]	0		141		1
;=====================================2017小雨制作==============================================================

充值使者 0 338 278 充值使者 0 12 0 0 0 0 10
充值使者 3 343 338 充值使者 0 12 0 0 0 0 10
